file,artist,title,lyrics,mood,year
TRAEUHN128F92E2C7F.h5,Point Of Grace,Amazing (LP Version),,happy,1998
TRAEUIW12903D018F0.h5,Jack Johnson,You And Your Heart,,sad,2010
TRAEVHU128F92D9EA0.h5,Blue October,My Never,,sad,2009
TRAEVIA12903CC3C37.h5,X,Motel Room In My Bed (LP Version),,happy,1982
TRAEVIK12903CCC7E2.h5,Jimi Hendrix,Fire,,happy,1969
TRAEVRI128F93608F3.h5,Phil Collins,Welcome,,happy,2003
TRAEVRU128F4263351.h5,Teena Marie,Light,,sad,1984
TRAEVTK128F9337030.h5,Mindless Self Indulgence,Never Wanted to Dance (Live In London),,happy,2008
TRAEWKQ128F427C3EC.h5,Jim Bryson,Somewhere Else,,sad,2003
TRAEWLF128F42B1F89.h5,Information Society,More to This,,sad,2007
TRAEWVG128F428AC7F.h5,Foo Fighters,X-Static,,sad,1995
TRAEWXY128E0786183.h5,U2,Vertigo,,happy,2004
TRAEXEA128F933C67D.h5,Pursuit Of Happiness,Hard To Laugh,,happy,1988
TRAEXHW128F92E2602.h5,Gym Class Heroes,New Friend Request (Amended Version),,sad,2006
TRAEXTM128E07811E1.h5,Frankee,Gotta Man,,happy,2004
TRAEXYP128F4231193.h5,Operator,Soulcrusher (Amended Album Version),,sad,2007
TRAEYHF128F14B06D0.h5,The Stooges,T.V. Eye (Take 3),,happy,1999
TRAEZLQ128F427F954.h5,Snow Patrol,Chasing Cars,,sad,2006
TRAFAAS12903CF0BE2.h5,Moonspell,Tired,,sad,1999
TRAFAID128F4243DAF.h5,Heaven 17,Resurrection Man,,happy,1996
TRAFAQY12903CA70F7.h5,The Suicide Machines,Your Silence,,sad,2003
TRAFBML128F93163FB.h5,Vaselines,Teenage Superstars (Album),,sad,1992
TRAFDFD128F14B07AB.h5,THE COOKIES,Chains (LP Version),,happy,1962
TRAFDRG128F42797B6.h5,Alice In Chains,Sickman,,sad,1992
TRAFEPC128F4237505.h5,Seal,Prayer For The Dying (Album Version),,sad,1994
TRAFIHK12903CBDFF1.h5,The Pineapple Thief,Boxing Day,,happy,2006
TRAFJRD128F4288F65.h5,Ziggy Marley And The Melody Makers,What's True,,happy,1988
TRAFJYB128F9311212.h5,Static-X,Love Dump (Clean Album Version),,sad,1999
TRAFMDA128F4224347.h5,Sleepy John Estes,Street Car Blues,,sad,1930
TRAFRKU128F933CE16.h5,The Black Crowes,Girl From A Pawnshop,,sad,1996
TRAFSGL128F42ADA3E.h5,Foo Fighters,Razor,,sad,2005
TRAFTDN128F427C29D.h5,Hot Chip,Hold On,,sad,2008
TRAFTRY128F9329C26.h5,Mudhoney,It Is Us,,happy,2006
TRAFXEY128F148AECD.h5,Latif,Luv In the First,,happy,2003
TRAFXHL128F148D175.h5,Rickie Lee Jones,Love Is Gonna Bring Us Back Alive,,happy,1989
TRAGAGQ128E0781352.h5,The Stranglers,It Only Takes Two To Tango,,happy,1981
TRAGAVB128F932585E.h5,Babe Ruth,Dancer (2007 Digital Remaster),,happy,1975
TRAGBOR128F92E1064.h5,Emperor,With Strength I Burn,,sad,1997
TRAGCXQ128F426BDD9.h5,Uriah Heep,Wake The Sleeper,,sad,2008
TRAGDCN128F92F9050.h5,Margaret Becker,Start The Fire,,happy,1989
TRAGDFG128F42934A0.h5,Sugarbomb,Gone,,happy,2001
TRAGDPS128F145F8EE.h5,Paloalto,Seed,,sad,2003
TRAGEAS128F4258B9E.h5,Margaret Becker,Stay Close To Me,,happy,1990
TRAGEVS128F145FEAD.h5,April Wine,Say Hello,,happy,1979
TRAGFDW128F933A421.h5,Al Denson,Love Is Taking Hold,,happy,1971
TRAGFIS128F14947B0.h5,Whitesnake,Love Ain't No Stranger (2003 Digital Remaster),,happy,2003
TRAGFQG128F42418D5.h5,Twista,The Day After (featuring Syleena Johnson) (Explicit Chopped & Screwed Version),,sad,2005
TRAGHBP128E0793AF7.h5,The Police,Wrapped Around Your Finger,,sad,1983
TRAGJQL128E078E840.h5,Shania Twain,Raining On Our Love,,sad,1995
TRAGKMU128F429757E.h5,The High Strung,The Luck You Got,,happy,2005
TRAGKTN128F933C68B.h5,Pursuit Of Happiness,Down On Him,,sad,1988
TRAGLSU128F145FFB2.h5,K-OS,Heaven Only Knows,,sad,2002
TRAGLUU12903D024F2.h5,Dave Hollister,I'm Wrong,,sad,2006
TRAGNUI128F1471068.h5,Whitesnake,Don't Mess With Me (2006 Digital Remaster),,happy,1978
TRAGNXF128F933A80E.h5,Mirah,Apples in the Trees (Live),,happy,2001
TRAGNYU128F42246AC.h5,Dee Clark,Just Keep It Up,,happy,1990
TRAGOEA128F1456EAA.h5,Tom Cochrane,Revelations:  Visions In A Dream,,sad,2004
TRAGPAF128EF34542A.h5,From Autumn To Ashes,Sensory Deprivation Adventure,,sad,2007
TRAGPEA128F422B47E.h5,Casiotone For The Painfully Alone,Dying Batteries,,sad,2001
TRAGQBY128F42635B7.h5,James Taylor,One More Go Round,,happy,1991
TRAGQVO128F145C0AF.h5,Gang Starr,Say Your Prayers,,sad,1991
TRAGTXE128F4229231.h5,Hurricane,I'm On To You,,happy,1988
TRAGUNG128F92F67B3.h5,Wayne Watson,Somebody Sing,,happy,2002
TRAGVKL128F427E896.h5,Pearl Jam,4/20/02,,sad,1993
TRAGVMH128F14ADF05.h5,Petra,Don't Let Your Heart Be Hardened (This Means War Album Version),,happy,1987
TRAGWKV128F92C316A.h5,Avril Lavigne,How Does It Feel,,sad,2004
TRAGXBL128F149EBA2.h5,Crabby Appleton,Go Back,,sad,1970
TRAGYBS128F4227AD5.h5,Lil Boosie,I Remember (amended album version),,sad,2006
TRAGYLX128F427C5EC.h5,Wilshire,When,,sad,2003
TRAGYXL128F92F9FCB.h5,Cowboy Mouth,Disconnected,,happy,2003
TRAHBXB128F42797AE.h5,Alice In Chains,I Know Somethin (Bout You),,sad,1990
TRAHCTH128F9330B4A.h5,Amoral,The Last Round,,sad,2004
TRAHCVT128F4282806.h5,L.A. Guns,Magdalaine,,happy,1989
TRAHGVP128F934B26C.h5,UFO,Out In The Street (Live In Cleveland_ Ohio),,happy,1975
TRAHKMS128F934B09E.h5,Lizzy Borden,There Will Be Blood Tonight,,sad,2000
TRAHLQF12903CDB530.h5,BigElf,Superstar,,happy,2008
TRAHMIV128F14693DC.h5,Mike And The Mechanics,Nobody's Perfect,,happy,1988
TRAHNMN128F932DA8E.h5,Atari Teenage Riot,Destroy 2000 Years Of Culture,,sad,1997
TRAHOSP128F4260E9B.h5,Jeff Beck Group,Jody,,happy,1971
TRAHOSZ12903CA58F1.h5,Katie Armiger,Love Without Fear,,happy,2007
TRAHPUC128F92D1EC3.h5,Hot Tuna,Death Don't Have No Mercy,,happy,1970
TRAHQHC128F42A77D8.h5,Bob Wills,Bubbles in My Beer,,happy,1991
TRAHRIG12903CC4871.h5,Fat Joe,Prove Something (explicit album version),,sad,2002
TRAHRRS128F4282F7A.h5,Blue Rodeo,Mystic River,,happy,2007
TRAHTIM128F1475DBA.h5,Ice Cube,Why We Thugs (edited version),,sad,2006
TRAHTZN128F421A41F.h5,Radney Foster,Again,,sad,2002
TRAHULA128F92CC05F.h5,Simon & Garfunkel,Old Friends,,sad,1968
TRAHWBP12903CAEBFC.h5,Dark Fortress,Evenfall,,sad,2010
TRAHWNG128F932AFB7.h5,Ayo,Down On My Knees,,sad,2006
TRAHXEG128F428F1EC.h5,Mindy McCready,Be With Me,,happy,2002
TRAHXMC128F4267B70.h5,BT,Knowledge Of Self (Evol Intent Remix),,sad,2004
TRAHXWI128F428B7DA.h5,Geggy Tah,Special Someone,,happy,2001
TRAHYDH128F9325200.h5,Bumblefoot,Piranha,,happy,2008
TRAHYMJ128E0787801.h5,Red Hot Chili Peppers,Venice Queen (Album Version),,happy,2002
TRAHZHD128F1462C2D.h5,Peter Tosh,Soon Come (2002 Digital Remaster),,happy,1978
TRAHZIL12903CF1DC2.h5,Blind Willie Johnson,If I Had My Way I'd Tear This Building Down,,happy,1996
TRAIAUB12903CDFB3D.h5,Bob Marley,Small Axe,,happy,1999
TRAIBXJ128F4260700.h5,A Tribe Called Quest,Scenario,,happy,1991
TRAICIO12903CBD65B.h5,Epidemic,Catalyst (LP Version),,sad,2002
TRAICJQ12903CF2681.h5,Dark Fortress,Ghastly Indoctrination,,sad,2006
TRAIDGE128F4260E9F.h5,Jeff Beck Group,Ice Cream Cakes,,happy,1972
TRAIELD128F92DC682.h5,Kings Of Leon,Genius,,happy,2003
TRAIHFF128EF351817.h5,Michael Jackson,Just A Little Bit Of You,,happy,1975
TRAIIRA128F931140A.h5,Kraftwerk,Pocket Calculator (2009 Digital Remaster),,happy,2009
TRAIJLI128F92FC94A.h5,Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb,,happy,1988
TRAIJMG12903D08168.h5,L7,This Ain't Pleasure,,sad,1992
TRAIKAW128E0785000.h5,Moments In Grace,Broken Promises (album version),,sad,2004
TRAIKBB128F428AD73.h5,Connie Smith,I'll Come Running,,happy,2001
TRAILFA128EF349FE5.h5,Nine Inch Nails,Survivalism,,sad,2007
TRAIPAB128F42626AE.h5,Suicidal Tendencies,Two-Sided Politics,,sad,1987
TRAIPST128F9302AE9.h5,Eminem,Beautiful,,happy,2009
TRAISYO128E07888A6.h5,Mariah Carey,Mine Again,,sad,2005
TRAISYU128F427F486.h5,Frankie J,Gone,,sad,2005
TRAIVMM12903CFAD62.h5,Bob Marley,Lively Up Yourself,,happy,1991
TRAIVNL128F422CFE2.h5,Buzzcocks,Get On Our Own,,happy,1978
TRAIVZI128F42642DE.h5,Backstreet Boys,Shape Of My Heart,,happy,2000
TRAIWZZ128F9306AFF.h5,Korn,Proud,,sad,1996
TRAIXQL128F1467D66.h5,Devo,Soo Bawlz,,happy,1979
TRAIYDL128E0791583.h5,Rihanna,Music Of The Sun,,happy,2005
TRAIZQI128F42A51F9.h5,Matisyahu,Refuge,,sad,2004
TRAIZWI128F4247EFD.h5,Ashton Shepherd,Old Memory,,sad,2008
TRAJBGL128F145C7A8.h5,Tom Cochrane,Washed Away,,happy,1992
TRAJCBF128F931B8BF.h5,Gov't Mule,Broke Down On The Brazos (Album),,happy,2009
TRAJCHY128EF349619.h5,Sir Douglas Quintet,She's About A Mover,,happy,1999
TRAJCIR128F146ABA7.h5,Michelle Tumes,Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version),,sad,2000
TRAJDGB128F42882AC.h5,OutKast,Call Of Da Wild,,sad,1994
TRAJDHN128F92C2EEF.h5,Michael Jackson,Dirty Diana,,happy,1987
TRAJEZT128E0795DF3.h5,Rea_ Chris,E,,sad,1999
TRAJKMI128F4281107.h5,Baby D,Let Me Be Your Fantasy,,happy,2002
TRAJLOR128F428CCC9.h5,Patti Smith,Wing,,sad,1996
TRAJMEL128F4262B4A.h5,The Fabulous Thunderbirds,Why Get Up,,sad,1986
TRAJNYU128E07856A5.h5,Van Halen,Can't Stop Lovin' You (Remastered Album Version),,happy,1995
TRAJOPN128F423BEC3.h5,Wolfmother,Dimension,,happy,2004
TRAJOWK128F4263735.h5,Suicidal Tendencies,It's Going Down,,sad,1992
TRAJPPX128F4259FD4.h5,Adam Ant,Friend Or Foe,,happy,1982
TRAJPUF128E0784808.h5,Rainbow,Can't Happen Here,,sad,1981
TRAJRTY128F426CF1F.h5,Kathy Mattea,The Southern Soldier Boy,,sad,1991
TRAJSKN128F92F9046.h5,White Heart,Edge Of The Dream (Emergency Broadcast Album Version),,happy,2000
TRAJSNU128F92F2AC0.h5,Chuck Wicks,If We Loved,,sad,2008
TRAJVHI128F930EFAF.h5,Beyoncé,Ring The Alarm,,sad,2006
TRAJXNB128F4261F43.h5,Steve Vai,Brother,,sad,1996
TRAJZCH128F933D2B7.h5,Mighty Mighty Bosstones,Patricia,,happy,1989
TRAJZIS128F4288E43.h5,Michael Jackson,We're Almost There,,happy,1975
TRAJZYI128F424B412.h5,45 Grave,Party Time,,happy,1989
TRAKARY128F427253E.h5,The Ataris,The Hero Dies in This One,,sad,2003
TRAKBYP128F42385F0.h5,Fall Out Boy,Dance_ Dance,,happy,2008
TRAKGTS128EF35CBD5.h5,White Heart,Hold On,,happy,1982
TRAKHYP128E0792F07.h5,Patty Griffin,Moses,,sad,1996
TRAKJOW128F1489DE4.h5,The Doors,Strange Days ( LP Version ),,sad,1967
TRAKJYQ128F934B22E.h5,40 Grit,A Part Of Me,,sad,2003
TRAKMGY128F4269E37.h5,Johnny Horton,Got The Bull By The Horns,,happy,1996
TRAKMXB12903CC67B2.h5,Britt Nicole,Don't Worry Now (Performance Track In Key Of Db Without Background Vocals),,sad,2007
TRAKOBG128F9344340.h5,Carl Smith,Loose Talk,,happy,1990
TRAKOPE128F421CE6A.h5,Patsy Cline,I Cried All The Way To The Altar,,sad,1995
TRAKOXF128F1477B81.h5,Bad Company,Valerie (LP Version),,happy,1986
TRAKPHP128F42807B0.h5,Incubus,Warning,,sad,2001
TRAKPSR128F146A1DC.h5,Bryan Ferry,Wildcat Days (1999 Digital Remaster),,sad,1994
TRAKQFZ128F429D3C9.h5,Santana,Let It Shine,,happy,1976
TRAKTWZ128EF35E206.h5,Janet Jackson,When I Think Of You,,happy,1986
TRAKUJE128F42AE89C.h5,Chris Brown,So Glad,,happy,2005
TRAKWXS128F930F798.h5,Lollipop Lust Kill,No Answer (Outro),,sad,2002
TRAKXYJ128F42525ED.h5,Agnostic Front,Undertow,,sad,1992
TRAKYHF128F42944ED.h5,Kenny G,Don't Make Me Wait For Love,,sad,1986
TRAKYRW128F425979E.h5,Frederick Knight,I've Been Lonely (For So Long),,sad,2000
TRAKYXS128F4248FE3.h5,Phantom Planet,Leader (Album Version),,happy,2008
TRALCUP128F426247F.h5,Amil,Anyday,,sad,2000
TRALENK128F92F39E9.h5,Circle Jerks,Paid Vacation,,sad,1980
TRALGYO128F934D18D.h5,30 Seconds To Mars,Night of the Hunter (Static Revenger Remix),,sad,2009
TRALHIQ12903D00496.h5,Hatebreed,Boxed In (Subzero),,sad,2009
TRALJBT128F4266FD8.h5,Jennifer Lopez,Play,,happy,2001
TRALKBS128F423BB4C.h5,Twista & The Speedknot Mobstaz,Warm Embrace (LP Version),,happy,2008
TRALLAR128F933C692.h5,Pursuit Of Happiness,No Safe Place,,sad,1990
TRALMTD128E07862AC.h5,Redman,Jam 4 U,,sad,1992
TRALOUF128F422F329.h5,Silverstein,BLEEDS NO MORE (Live Version),,sad,2006
TRALPZN128F4241A2F.h5,Twista,It Feels So Good (Album Version),,happy,1997
TRALQZK128F429802D.h5,Kings Of Leon,Day Old Blues,,sad,2004
TRALSXX128F92F94B0.h5,Sex Pistols,Seventeen,,happy,1977
TRALTKQ128F932DA67.h5,Atari Teenage Riot,Revolution Action,,happy,1999
TRALTTR12903C9E32E.h5,Scott Weiland,The Date ( LP Version ),,sad,1998
TRALTZZ12903CB7DD0.h5,Kris Kristofferson,Killer Barracuda,,sad,1995
TRALUAQ128F427EB26.h5,Bravehearts,Sensations,,happy,2003
TRALUNR128EF3425DE.h5,Jason Mraz,Did You Get My Message?  (Live From Shubas),,sad,2007
TRALWDN128F1456DB7.h5,Lil' Romeo,Don't Want To,,sad,2001
TRALWXA128F4270DF3.h5,Seal,The Beginning (Giro E Giro Mix),,happy,1991
TRALZPL128F423BE6B.h5,Curtis Mayfield,Superfly (Single Mix Version),,sad,2005
TRALZUL128F4236D23.h5,Sugar Ray,Mean Machine (Remastered LP Version),,happy,2005
TRAMBHU128F425A620.h5,Rick Astley,You Move Me,,happy,1987
TRAMCLN128F9302E27.h5,FFH,Why Do I,,happy,2000
TRAMDUW12903CB5100.h5,brokeNCYDE,Schitzo,,sad,2008
TRAMESI128F93509F7.h5,Britt Nicole,Set The World On Fire,,happy,2007
TRAMFJR128F92C1DB1.h5,Toni Braxton,He Wasn't Man Enough,,happy,2000
TRAMGDX12903CEF79F.h5,Van Halen,Panama (Album Version),,happy,2003
TRAMKKJ128F1463612.h5,Burning Spear,Tumble Down,,sad,1991
TRAMLQH12903CA69B2.h5,Mungo Jerry,Alright_ Alright_ Alright,,happy,1990
TRAMMDM128F425EAA9.h5,Wyclef Jean,Heaven's In New York,,happy,2007
TRAMMDO128E0781A5D.h5,Thomas Dolby,Screen Kiss,,happy,1984
TRAMMQW128F42621E1.h5,The Distillers,Oh Serena,,sad,2000
TRAMODP128F426247B.h5,Amil,Get Down,,happy,2000
TRAMSAY128F92ED0DD.h5,It Dies Today,Sixth of June,,sad,2007
TRAMVBZ12903CB2635.h5,Dean Martin,Pennies From Heaven,,sad,1997
TRAMWKK128F9314838.h5,Emperor,In the Wordless Chamber,,sad,2001
TRAMWLL12903D119DA.h5,Uriah Heep,Ghost of the Ocean (Live),,sad,2008
TRANAPL128F147328F.h5,Sasha,Owner Of My Heart (Album Version),,sad,2006
TRANCCN128E0794B18.h5,30 Seconds To Mars,Hunter,,sad,2005
TRANCOH128F422F31D.h5,Silverstein,MY CONSOLATION (LP Version),,sad,2006
TRANCOS128F4267DFB.h5,Mando Diao,All My Senses,,sad,2004
TRANDEK128F4259EBC.h5,The Clash,Lose This Skin,,sad,1980
TRANGYF128E0786C33.h5,Madonna,Bedtime Story (Album Version),,happy,1994
TRANHKC128F9309BF4.h5,The Rolling Stones,Fortune Teller,,happy,1963
TRANIUD12903CCE692.h5,Jah Cure,To Your Arms of Love,,happy,2007
TRANJGM128F427A41B.h5,Nightwish,Sleepwalker,,sad,2000
TRANKIL128F1476FA2.h5,The Police,Voices Inside My Head,,sad,1980
TRANLRX128F4259030.h5,Zeromancer,Mosquito Coil,,sad,2003
TRANLXB128F92FE4F4.h5,Al Denson,Rain Love,,happy,1999
TRANMKA128F426C3B0.h5,Leona Naess,Heavy Like Sunday,,sad,2008
TRANMKF128E07995A8.h5,Phil Collins,Dance Into The Light (LP Version),,happy,1996
TRANMOT128F92EFF19.h5,Kathy Mattea,Standing Knee Deep In a River (Dying Of Thirst),,sad,1992
TRANPRQ128EF348E34.h5,Santana,Persuasion,,happy,1969
TRANPWV128F9341281.h5,Behemoth,He Who Breeds Pestilence,,sad,2009
TRANPXL128F42B8FED.h5,Sylver,Sympathy,,sad,2004
TRANQLL128F92F5263.h5,Shakira,Poem To A Horse,,sad,2001
TRANQYI12903CA2BA9.h5,Taking Dawn,Black Diamond,,sad,2010
TRANRIK128F148C860.h5,Eminem,Paul,,sad,1999
TRANVZT128F42AE134.h5,Dixie Chicks,Lullaby,,happy,2006
TRANYYX128F4276EE3.h5,Wyclef Jean,Something About Mary,,happy,2000
TRANZFP128E07995A9.h5,Phil Collins,That's What You Said  (LP Version),,sad,1996
TRAOATJ128F147FC9B.h5,Phil Collins,I Cannot Believe It's True,,sad,1982
TRAOBQP12903CC4A7B.h5,Rickie Lee Jones,It Must Be Love (Live Acoustic Version),,happy,1984
TRAOCSE128F4282321.h5,No Address,Pretty Girl (Amended Version),,happy,2005
TRAOIYM12903CDEF1E.h5,Rihanna,The Hotness (ft. Shontelle),,happy,2006
TRAOJMY128E07836D9.h5,Helmet,Everybody Loves You,,happy,2004
TRAOJZC128F14932D5.h5,The Cure,Lost,,sad,2004
TRAOKSC128F4264989.h5,K's Choice,A Sound That Only You Can Hear,,happy,1995
TRAOLIX128E0793AFA.h5,The Police,Man In A Suitcase,,happy,1980
TRAOLZJ12903CB4FC7.h5,Oasis,Columbia,,happy,1994
TRAOPAR128F92EFD17.h5,Don Gibson,Who Cares,,happy,1987
TRAOPRI12903C9FC25.h5,Bruce Springsteen,Rosalita (Come Out Tonight),,happy,1973
TRAOURR128F931A9EA.h5,Devo,The 4th Dimension (LP Version),,happy,1984
TRAOXXM128F932FC70.h5,Alicia Keys,Heartburn,,happy,2003
TRAOYFS128F423E593.h5,My Chemical Romance,Interlude (Album Version),,sad,2004
TRAOYQV12903CF8089.h5,Hot Chip,Ready For The Floor (Radio Edit),,happy,2008
TRAOZEJ128F428CCEA.h5,OutKast,Wailin',,sad,1996
TRAPBPP128F92F07BF.h5,Hank Locklin,Send Me The Pillow You Dream On,,happy,1960
TRAPCVT128F428A9D0.h5,Bad Religion,The Lie,,sad,2002
TRAPDCB128F42824A6.h5,Jessica Simpson,Take My Breath Away,,happy,2004
TRAPESV128F92FE5E9.h5,Don Gibson,Blue Blue Day,,happy,1987
TRAPFIP128F42AC31E.h5,Alicia Keys,If I Was Your Woman,,sad,2005
TRAPFXX128E0785EBA.h5,Mariah Carey,Clown,,happy,2002
TRAPGAG128F42ADAF7.h5,Kane,All I Can Do,,sad,2005
TRAPGOC128F932F01A.h5,Aswad,Your Recipe,,happy,1982
TRAPGOZ128F933A945.h5,Jonny Lang,One Person At A Time,,happy,2006
TRAPHAH128F42677A4.h5,Jennifer Lopez,We Gotta Talk,,sad,2001
TRAPHZY128F149579B.h5,Cowboy Mouth,Jenny Says,,sad,1996
TRAPISC128F14671D3.h5,Gang Starr,Mostly Tha Voice (Explicit),,sad,1994
TRAPJPD128F14572B3.h5,Vixen,American Dream,,happy,1988
TRAPLMD128F932FF43.h5,Metallica,Metal Militia,,sad,1982
TRAPMCS128F92E88C5.h5,Johnny Horton,The Woman I Need (Honky Tonk Mind),,happy,2000
TRAPMRV128F92F5F4C.h5,Dixie Chicks,Hole In My Head,,happy,1999
TRAPNDJ128F427AB8A.h5,Janis Joplin,Get It While You Can,,happy,1971
TRAPNII12903CEA4F8.h5,Bad Company,Simple Man,,sad,1976
TRAPNOO128F423660C.h5,King Diamond,Shrine (Reissue) (Album Version),,sad,2003
TRAPNQZ128F145B04E.h5,Jay & The Americans,Let's Lock The Door (And Throw Away The Key),,happy,1990
TRAPOAD128E0788A38.h5,Dilated Peoples,World On Wheels,,sad,2004
TRAPPUN128F429400B.h5,Foo Fighters,Overdrive,,happy,2002
TRAPTOE128F4272000.h5,Akon,Don't Matter,,happy,2006
TRAPUDN128F423B45C.h5,Slipknot,Gently (Album Version),,sad,1996
TRAPVGB128F42725AF.h5,The Ataris,I Won't Spend Another Night Alone,,happy,1999
TRAPXHQ128F9340E67.h5,Chris Brown,I Love U,,happy,2009
TRAPZJQ128F428A022.h5,Dropkick Murphys,Going Strong (Album Version),,happy,2004
TRAPZTV128F92CAA4E.h5,Beyoncé,Single Ladies (Put A Ring On It),,happy,2008
TRAQAIW12903C9B61E.h5,Belle and Sebastian,I Could Be Dreaming,,happy,1996
TRAQDUR128F931B4E9.h5,Tom Petty,Wildflowers (Album Version),,happy,1994
TRAQGMY128F425A2F5.h5,Annie Lennox,A Whiter Shade Of Pale,,happy,1995
TRAQGNV128C7196894.h5,Blink-182,All Of This,,sad,2003
TRAQHAK128F425EDD8.h5,Beyoncé,Ring The Alarm,,happy,2006
TRAQHCG128E07951DA.h5,Mase,Wanna Hurt Mase? (Album Version),,sad,1997
TRAQHOI128F4233163.h5,Dimmu Borgir,The Chosen Legacy,,sad,2007
TRAQICU128F4295BED.h5,Shakira,Donde Estas Corazon,,happy,1997
TRAQNEC128F14ADF01.h5,Petra,Hollow Eyes (Beat The System Album Version),,sad,1985
TRAQOXO128F42636BD.h5,James Taylor,Down In The Hole,,sad,1991
TRAQPHD128F4226E5E.h5,Soulwax,Soul Simplicity,,happy,1996
TRAQPKX128F428146D.h5,Sister Hazel,Come Around (Acoustic),,happy,1994
TRAQRHA128F93001EB.h5,The Strokes,Between Love & Hate,,sad,2003
TRAQRYZ128F4291DCB.h5,Britney Spears,My Prerogative,,sad,2004
TRAQTBF12903CCC1B7.h5,Cockney Rejects,Oi! Oi! Oi!,,happy,1997
TRAQTYT12903D134AC.h5,Billie Jo Spears,What I've Got In Mind,,happy,1976
TRAQUJP128F146082C.h5,UFO,Out In The Street,,happy,1975
TRAQYOC128F9341CDC.h5,Busta Rhymes,Genesis,,sad,2001
TRAQYZO128F930BC98.h5,To My Surprise,Easy or Not (Album Version),,happy,2003
TRARAEG128F42647B2.h5,Bob Dylan,Trying To Get To Heaven,,sad,1997
TRARAIO128E0780FDE.h5,Snow Patrol,Spitting Games,,sad,2003
TRARANL128F1478789.h5,Rise Against,Drones,,sad,2006
TRARBGR128F42264D1.h5,Lesley Gore,It's My Party,,happy,1963
TRARDOK128F9300AB5.h5,Thrice,The Earth Isn't Humming,,sad,2008
TRAREHS128F92F8E13.h5,Snow Patrol,New Sensation,,sad,2009
TRARFKP12903CF5DF1.h5,Salt The Wound,From My Hands,,sad,2009
TRARHCB128F148D1B0.h5,The Misfits,The Haunting,,sad,1997
TRARHFF128F933D378.h5,Dickies,Just Say Yes,,happy,1990
TRARHLY128F42698CA.h5,Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix),,sad,1997
TRARIIY128F147187D.h5,Kiss,Radar For Love,,happy,1985
TRARIMP128F933D217.h5,Back Door Slam,Heavy On My Mind (Album Version),,sad,2007
TRARMUI128F147162F.h5,The Jam,The Modern World,,sad,1977
TRARMYZ128F426150A.h5,Ann Lee,So deep,,sad,2000
TRAROPS128F92F09A5.h5,Carl Belew,Am I That Easy To Forget,,sad,1959
TRARPCK128F92FEA7F.h5,Grizzly Bear,Little Brother,,sad,2006
TRARPGY128F425D48D.h5,George Jones,Ol' Frank,,sad,1986
TRARPWX128F92CD69C.h5,Julie Roberts,The Chance,,happy,2004
TRARPZT128F932AD66.h5,Natalie Cole,The Gift,,happy,1985
TRARQBS128F4262E62.h5,Teena Marie,Playboy,,happy,1983
TRARRYC128F428CCDA.h5,Amorphis,Misery Path (From the Privilege of Evil),,sad,1992
TRARSKA128F9336A04.h5,Britney Spears,3,,happy,2009
TRARVEY128F9300AC3.h5,Thrice,Red Sky,,sad,2005
TRASBZK128F42692CA.h5,Amorphis,Crimson Wave,,sad,2001
TRASCAU128E078FB37.h5,Lost Boyz,What's Wrong,,sad,1997
TRASDGG128F933EDE2.h5,Anti-Flag,On Independence Day,,sad,2009
TRASFNS128F145247D.h5,Death From Above 1979,Romantic Rights (Jesper Dahlback Remix),,happy,2004
TRASGKM128F42644C5.h5,Helmet,Street Crab,,sad,1994
TRASHYD128F93119EE.h5,3OH!3,CHOKECHAIN (Amended Album Version),,sad,2008
TRASKII128F92FA33E.h5,The Ataris,Whatever Lies Will Help You Rest,,sad,2006
TRASKUE128F1478ECF.h5,Michael Card,Joy In The Journey (The Final Word Album Version),,happy,1994
TRASNRV128F931AE2E.h5,Nine Inch Nails,Sin,,sad,1989
TRASPAS128E078DFB3.h5,Bob Marley & The Wailers,Smile Jamaica,,sad,1992
TRASPCN128F92DE67E.h5,Taking Back Sunday,Catholic Knees (Album Version),,sad,2009
TRASQBA128F427B273.h5,Belphegor,The Sukkubus Lustrate,,sad,2008
TRASRBB128F42AFD5C.h5,Brian Littrell,Wish,,sad,2006
TRASRXK128F9311176.h5,Arctic Monkeys,Fake Tales Of San Francisco,,sad,2004
TRASTOM12903CBE8A6.h5,Seven Mary Three,Hammer & a Stone,,sad,2008
TRASUDV128F42B86FB.h5,Sunscreem,Perfect Motion,,happy,1992
TRASUJK128E0789C12.h5,Coldplay,Speed Of Sound (Live),,sad,2005
TRASVKL128F931652A.h5,Bloc Party,One More Chance,,sad,2009
TRASVNS128E07855BF.h5,George Huff,Have Yourself A Merry Little Christmas (LP Version),,happy,2001
TRASWIV128E0788A84.h5,The Smashing Pumpkins,Real Love,,happy,2000
TRASWPD128F42B4F7B.h5,Rihanna,We Ride,,sad,2006
TRASWQE128F146C987.h5,Oceansize,New Pin (edit),,sad,2005
TRASXYB128F428DFF3.h5,Blackalicious,World Of Vibrations (Album Version),,happy,2005
TRATAIB128F92E81CB.h5,Dishwalla,Moisture,,sad,1995
TRATBGP128F1482545.h5,Happy Mondays,Olive Oil,,sad,1987
TRATCDG128F932B4D2.h5,Aiden,Black Market Hell,,sad,2009
TRATHFM128F148ADD4.h5,Eastmountainsouth,Hard Times,,sad,2003
