file,artist,title,lyrics,genre,mood,year
TRADVKA128F93242C9.h5,Chimaira,Severed (demo) (Album Version),"Stay awake to decide
Are you coming back?
Is this my sanity?
I can't forgive

Oh, is it the same to me?
I can't take your place
I'll never see you, never flee from me
Severed

Lost lies in the house I bring
I can't fucking see
I can never pull yourself from me
I can't focus

Libertine my ""said to be""
I will never save you
Wait...today is not the same
Severed",Rock,sad,2001
TRADVNR12903CE5A54.h5,Bumblefoot,Abnormal (Acoustic),"For all that I love you, that's how much I hate you
And it hits me like a flick of the switch
You're my perfect angel, but sometimes
All I see is a fuckin' bitch
The problem's not you, I know, it's true
There's just somethin' goin' on in my head
Everything has changed, everything's so strange
And now you're stuck with ab-normal again

For all that I love you, that's how much I hate you
And the button gets pushed all the time
For all the fun I have inside you
I could leave it at the toss of a dime
The problem's me, that much I see
There's something wrong inside my head
Everything has changed, everything's so strange
And now you're stuck with ab-normal again

For all that I love you, that's how much I hate you
And it crushes me like a ton of bricks
Just when I think I'm gonna reach out for your neck

Instead my hands go right to your tits
I've always known I'm crazy
I'm just tired of tryin' to pretend
Everything has changed, everything's so strange
And now you're stuck with ab-normal again

It's like runnin' face-first into a wall
Till I black out down on the floor
The next time ya see me chargin' towards ya
Just push me right out the door
The intensity's too much sometimes

Fame is a fuckin' cage
I'm infected with this rage
And now you're stuck with ab-normal again
And now you're stuck with ab-normal again
And now you're stuck with ab-normal again
And now we fuck like ab-normal again",Rock,sad,2008
TRADVSU128E0786371.h5,Hem,Redwing,"Hey, was that you floating past the tree line?
Hey, was that a feather in your hand?
No, I don't mean to ask these questions
No, I don't mean to rush your heart
I swear I saw this accidentally
No, I don't mean to start

Hey, the rain falls straight into the sidewalk
Hey, the clouds hang heavy in the sky
But I don't want to still believe in
The gravity of solid ground
The world below is not so big
That it can keep us down

We are standing on the rooftops
We are circling like sparrows
We are tiny, we are trembling
Scared of everything
But the heart is still a red wing

Fly above the houses and the schoolyards
And fly until you cannot feel the Earth
No, I don't mean that it's so easy
I don't mean that it's so small
But the world below is not so mean
That it can make us fall

We are standing on the rooftops
We are circling like sparrows
We are tiny, we are trembling
Scared of everything
But the heart is still a red wing

Do-do-do
La-la-la-la-la-la-la-la
Do-do-do
La-la-la-la-la-la-la-la
Do-do-do
La-la-la-la-la-la-la-la

We are standing on the rooftops
We are circling like sparrows
We are tiny, we are trembling
Scared of everything
But the heart is still a red wing

Do-do-do
La-la-la-la-la-la-la-la
Do-do-do
La-la-la-la-la-la-la-la
Do-do-do
La-la-la-la-la-la-la-la
Do-do-do
La-la-la-la-la-la-la-la",Pop,happy,2004
TRADWOB12903C9D1EB.h5,Coven,Coven In Charing Cross,"Thirteen cultists
Held a secret meeting,
Bringing powers of the darkness
Upon those who opposed them.
The cheif of the circle,
Known as Malchius
drank the blood of a young baby
Offered unto him.

They danced ecstatically,
The orgied frantically.
The demon had arisen
From the circle on the floor.
The chanting was much louder
And more piercing than before.

They are seven.
They are seven.
Seven are they.
Out of the abyss they rise,
When day sinks into darkness.
Seven are they.

Coven in charing cross...
Coven in charing cross...

Soon, a certain family
Living in the village,
Would die one by one by
The curse of the cult.
The head of the family,
A witchhunter named Mead,
had burned their leadser at the stake;
Soon he'd regret his deed.

Pain from Devil's we evoke!
Thirst and suffer til he'd choked.
The magic did take over
And the soul did feel the roar.
Incantations were much louder
And more piercing than before.

Born in the bowels of the hills
Evil ones, sources of ills.
Setters of unseen snares,
Death to all pity, all prayers.
Male they are not.
Female they are not.
No wives have they known.
No children begot.
The fiends they are seven,
Disturbers of heaven.
They are seven.
They are seven.
Seven they are.

Coven in charing cross...
Coven in charing cross...",Rock,sad,1969
TRADXCF128EF357134.h5,Snow Patrol,Shut Your Eyes,"Shut your eyes and think of somewhere
Somewhere cold and caked in snow
By the fire, we break the quiet
Learn to wear each other well

And when the worrying starts to hurt
And the world feels like graves of dirt
Just close your eyes until
You can imagine this place
Yeah, our secret space, at will

Shut your eyes, I'll spin the big chair
And you'll feel dizzy, light and free
And falling gently on the cushion
You can come and sing to me

And when the worrying starts to hurt
And the world feels like graves of dirt
Just close your eyes until
You can imagine this place
Yeah, our secret space, at will

Shut your eyes
Shut your eyes
Shut your eyes
Shut your eyes

Shut your eyes and sing to me
(Shut your eyes and sing to me)
Shut your eyes and sing to me
(Shut your eyes and sing to me)

Shut your eyes and sing to me
(Shut your eyes and sing to me)
Shut your eyes and sing to me
(Shut your eyes and sing to me)",Rock,happy,2006
TRADXMA128F4276D94.h5,Dead Prez,Be Healthy,"It's all love.

I don't eat no meat.
No dairy, no sweets.
Only ripe vegtables, fresh fruit and whole wheat.
I'm from the old school, my household smells like soul food, bro.
Curry falafel, barbequed tofu.
No fish, or none of dem candy bars.
No ciggarettes.
Only ganja, and fresh squeezed juice from oranges.
Excerisin' daily,  to stay healthy.
An I rarely drink water out the tap cause it's filthy.

Lentil soup - is- mental fruit
and, ginger root- is good for the youth.
Fresh vegetables with the ital stew.
Sweet yam fries with the green caleoo
Careful how you season and prepare your foods,
cause you dont want to loose - vitamins and minerals 
and that's the jewel-
Life brings.
Life is valuable , so I eat what comes from the ground- It's natural.
Let your food be your medicine. No exceteran.
Strictly herb, generates from the sun.
Cause I got MELANIN.
Drink water. 8 glasses a day.
Cause that's what they say.

They say you are what you eat.
So I strive to eat healthy .
My goal in life is not to be rich or wealthy.
Cause true wealth, comes from good health and wise ways.
That's why we gotta start takin better care of ourselves.

Be Healthy Ya'll.

-",Hip Hop/Rap,happy,2000
TRADYFD12903CE4161.h5,Black Flag,Jealous Again,"You're jealous again
No, she's just a friend
Why can't I do anything without being yelled at?

Always on the phone
Never leave me alone!
Why don't you tell me what the fuck you want from me!

Say I'll never gonna leave ya
No, I'll never leave ya
Not the end
No, it's not the end

I won't beat you up
I won't push you around
'Cause if I do, the cops will get me for doing it!

I wanna go and have some fun
Go where the action is
Who the hell are you to tell me who my friends are!

Say I'll never gonna leave ya
No, I'll never leave ya
Not the end
No, it's not the end

Say I'll never gonna leave ya
No, I'll never leave ya
Not the end
No, it's not the end

You're jealous again
You're jealous again
You're jealous again
And again and again!",Rock,sad,1980
TRADYQK128F42A762A.h5,Muse,Stockholm Syndrome,"I won't stand in your way
Let your hatred grow
And she'll scream and she'll shout and she'll pray
And she had a name
Yeah, she had a name

And I won't hold you back
Let your anger rise
And we'll fly and we'll fall and we'll burn
And no one will recall
No one will recall 

This is the last time I'll abandon you
And this is
The last time I'll forget you
I wish I could

Look to the stars
And let hope burn in your eyes
And we'll love and we'll hate and we'll die
All to no avail
All to no avail 

This is the last time I'll abandon you 
And this is
The last time I'll forget you 
I wish I could 

This is the last time
I'll abandon you 
And this is
The last time I'll forget you 
I wish I could 
I wish I could",Rock,sad,2006
TRADYYK128F145FE74.h5,The Velvet Underground,I Heard Her Call My Name,"Here she comes now, now
Gone, gone, gone
Ready, ready, ready, ready, ready
Got my eyes wide open

Ever since I was on cripples Monday
Got my eyeballs on my knees, Aww my baby walkin'
After hours with Mad Mary Williams
Said she never understood a word from me, because...

I know that she cares about me
I heard her call my name
And I know that she's long dead and gone
Still she ain't the same
When I wake up in the morning
I heard her call my name
I know that she's gone, gone, gone
I heard her call my name
And then my mind split open...",Rock,happy,1968
TRADZQV128F14A5760.h5,Little Eva,The Loco-Motion,"Everybody's doing a brand new dance now

I know you'll get to like it if you give it a chance now


My little baby sister can do it with ease
It's easier than learning your ABCs
So come on, come on, do the Loco-motion with me

You gotta swing your hips now
Come on, baby, jump up, jump back
Well, I think you got the knack, whoa, whoa

Now that you can do it let's make a chain now

A chuga chuga motion like a railroad train now


Do it nice and easy now, don't loose control
A little bit of rhythm and a lotta soul
Come on, come on, do the Loco-motion with me

Yeah yeah yeah yeah
Move around the floor in a Loco-motion

Do it holding hands if you do get the notion


There's never been a dance that's so easy to do
It even makes you happy when you're feeling blue
So come on, come on, do the Loco-motion with me

You gotta swing your hips now
That's right, you're doing fine
Come on, baby
Mmm, jump up, jump back
You're looking cool
Mmm, jump up, jump back",Pop,happy,1962
TRADZWK128F9303076.h5,Simple Minds,Chelsea Girl (Live),"And now the sound of time is getting fast
It's getting late
Don't know if I can take much more
The way you talk I often wondered
If I heard the words somewhere
Someplace before
I got so nervous when I called
And found that lately
You had gone and changed your name
But I've got something on my mind
I want you here
I want you now
You better explain
Is it true you're running round
Now is it true they're calling you
The Chelsea Girl
Is it true you're running round
Now is it true they're calling you
The Chelsea Girl

Your best friend never calls you up
But you don't mind
'Cause lately things are all the same
Ain't it strange how peope always seem
To know your face
But just don't know your name
Well I don't care there's no-one there
That even turn around and say get out of this place
Last night I saw a shooting star
When morning comes
She hides away
A real disgrace

Is it true you're running round
Now is it true they're calling you
The Chelsea Girl
Is it true you're running round
Now is it true they're calling you
The Chelsea Girl

Oh Chelsea Girl
You got me caught up in a whirl
I want you here now Chelsea Girl

Lyrics : J Kerr Music : Burchill/Kerr (C) EMI Publishing Ltd Reproduced without permission",Rock,happy,2004
TRADZXK128F429DB92.h5,The Killers,Show You How,"Ha
I gotta tell ya
I'll make it better
But I know there's somethin' I needed to say
When I was out now
Maybe you were better alone
I know I'll make it home

She told me sweet thang
Run a labour
In your shoes
Touch me 'til I follow in love
I wanna help her
Maybe we were better alone
I wanna show you how

And then we walked out
Make it made now
I said I want it but I never alone
I wanna show you
Maybe we were somethin' uncool
I wanna make you sing",Rock,sad,2004
TRAEARU128E0781A02.h5,David Bowie,Space Oddity (1997 Digital Remaster),"Ground Control to Major Tom
Ground Control to Major Tom
Take your protein pills and put your helmet on

Ground Control to Major Tom (10, 9, 8, 7, 6)
Commencing countdown, engines on (5, 4, 3, 2)
Check ignition and may God's love be with you (1, lift off)

This is Ground Control to Major Tom
You've really made the grade
And the papers want to know whose shirts you wear
Now it's time to leave the capsule if you dare

""This is Major Tom to Ground Control
I'm stepping through the door
And I'm floating in a most peculiar way
And the stars look very different today

For here am I sitting in a tin can
Far above the world
Planet Earth is blue
And there's nothing I can do

Though I'm past one hundred thousand miles
I'm feeling very still
And I think my spaceship knows which way to go
Tell my wife I love her very much she knows""

Ground Control to Major Tom
Your circuit's dead, there's something wrong
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you...

""Here am I floating 'round my tin can
Far above the moon
Planet Earth is blue
And there's nothing I can do""",Rock,happy,1969
TRAEASY128F148247C.h5,Charlotte Gainsbourg,Tel Que Tu Es,"Quand tu t'en vas, 
que tu n'es pas presse 
ton corps se balance 
sans importance 
tel que tu es 

sans dire un mot, 
sans effort tu te moques 
du decor tu es 
de temps en temps 
tel que tu es 

tu ne sais pas 
ce que l'on dit de toi 
tu t'en fous surtout 
n'y change rien 
tel que tu es 

no one can tell 
what you say or do next 
are you blessed?
maybe by me sometimes 
come as you are",Pop,sad,2006
TRAEATL128F42690A7.h5,Aerosmith,Lord Of The Thighs,"Down to who knows who, just to socialize
I'm waiting for my girls, when you caught my eyes
You got no way to make a man
Honey you got to understand
I'm your man, child, lord of the thighs!

Well, well, lordy my God, what do we got here
She's flashin' 'cross the floor, make it perfectly clear
You're the bait and you're the hook
Someone bound to take a look
I'm your man, child, lord of the thighs!

You must've come here to find it
You've got the look in your eyes
Although you really don't mind it
I am the lord of your thighs!

You must've come here to find it,yeah
You've got the look in your eyes
Although you really don't mind it
I am the lord of your thighs!",Rock,happy,1974
TRAEBSY128E07873C0.h5,Del Tha Funkee Homosapien,Mistadobalina,"Mistadobalina Mr. Bob Dobalina
Mistadobalina Mr. Bob Dobalina
Mistadobalina Mr. Bob Dobalina
Mistadobalina Mr. Bob Dobalina

Mistadobalina Mistabobdobalina Mistabobdobalina won't you quit
You really make me sick with ya fraudulent behavior
You're gonna make me flip and then an army couldn't save ya
Why don't you behave ya little rugrat
Take a little tip from the tabloid
Because I know I'm not paranoid
When I say I saw ya tryin' to mock me
Now you and your crew are on a mission tryin' to hawk me
But it isn't happenin' ya fraudulent foes
You used to front big time now I suppose
That everything's cool since the style of apparel you adopted
You used to make fun of but now you wanna rock it
So you gotta kick it with the homies
But D-E-L is already hip to your cronies
Me and CM-PX thought about this and never have we seen a
Brother who could look like Mista Mista Mistadobalina

CHORUS

Ooh ooh Mistadobalina
You thought ya could manipulate
You thought you could fool me
Ooh ooh Mistadobalina
Changes put me on a stump and then he schooled me
Friends can be fraudulent just you wait and see
First he was my moneygrip
Then he stole my honeydip
Mistadobalina is a serpent
Don't you agree the little two-tima
Resembles Aunt Jemima
With jeans and a dirty white hoodie
Seems like he wouldn't be a snake
Or wouldn't disguises come in all sizes and shapes
Notice the facade of the snakes
They all catch the vapes
Even though last year they was GQ
Took a little time before the D-E-L could see through
The mask all I had to do is ask the heather wall Akwame
And my man responded they would bomb a
Fraudulent foe with the strength of Hercules
The way ya on my dick must really hurt ya knees
You need to take heed and quit being such a groupie
Ever since I did a little show in Guadeloupee
I neva saw a groupie like you
But what is funny is ya wanted to be down with my crew
But D-E-L is not down with any clowns or jesters
So I would suggest that ya try to impress Uncle Fester
Dobalina because ya don't impress me
Dobalina the style of dress is not the key
Dobalina it's all in the mind and the heart
So you should start
By remembering ya gotta pay a fee dobalina",Hip Hop/Rap,happy,1991
TRAEBXE128F933B4F5.h5,Rihanna,Good Girl Gone Bad,"We stay moving around solo
Ask us where you at, we don't know
And don't care (don't care)
All we know is we was at home 'cause you left us there
You got your boys and got gone and left us all alone
Now she in the club with a freaky dress on
Cats don't want her to keep that dress on
Tryna get enough drinks in her system
Take her to the telly and make her a victim

Patrón on the brain
Ball player in her face
They shake the spot
She's just another cake

Easy for a good girl to go bad
And once we gone
Best believe we gone forever
Don't be the reason
Don't be the reason
You better learn how to treat us right
'Cause once a good girl goes bad
We die forever

He steady with a flock of 'em, oh yeah
Got a girl at home but he don't care
Won't care (won't care), all you do is keep me at home
Won't let me go nowhere
He thinks because I'm at home
I won't be gettin' it on
And now I'm finding numbers
In the jacket pockets
Chicks calling the house non-stop
It's getting out of control
Finally I can't take no more
He finds a letter on the stairs
Saying this is the end
I packed my bag and left with your best friend

Easy for a good girl to go bad
And once we gone
Best believe we gone forever
Don't be the reason
Don't be the reason
You better learn how to treat us right
'Cause once a good girl goes bad
We die forever

We stay moving around solo
Ask us where you at, we don't know
And don't care (don't care)
All we know is we was at home 'cause you left us there
You got your boys and got gone and left us all alone

Easy for a good girl to go bad
And once we gone
Best believe we gone forever
Don't be the reason
Don't be the reason
You better learn how to treat us right
'Cause once a good girl goes bad
We die forever

We gone forever
We gone forever",R&B,happy,2007
TRAECBR128F429F8C0.h5,Britney Spears,Everytime,"Notice me, take my hand 
Why are we strangers when 
Our love is strong 
Why carry on without me 

Everytime I try to fly, I fall 
Without my wings, I feel so small 
I guess I need you, baby 
And everytime I see you in my dreams 
I see your face, it's haunting me 
I guess I need you, baby 

I make believe that you are here 
It's the only way I see clear 
What have I done 
You seem to move on easy 

And everytime I try to fly, I fall 
Without my wings, I feel so small 
I guess I need you, baby 
And everytime I see you in my dreams 
I see your face, you're haunting me 
I guess I need you, baby 

I may have made it rain 
Please forgive me 
My weakness caused you pain 
And this song's my sorry 

At night I pray 
That soon your face will fade away 

And everytime I try to fly, I fall 
Without my wings, I feel so small 
I guess I need you, baby 
And everytime I see you in my dreams 
I see your face, you're haunting me 
I guess I need you, baby",Pop,sad,2003
TRAECVW128E078884D.h5,Rise Against,State Of The Union,"If we're the flagship of peace and prosperity
We're taking on water and about to fuckin' sink
No one seems to notice, no one even blinks
The crew all left the passengers to die under the sea

Countdown, to the very end
Equality, an invitation that we won't extend
Ready aim, pull the trigger now
In time you firmly secure your place in hell

State of the union address
Reads war torn country still a mess
The words: power, death, and distorted truth
Are read between the lines of the red, white, and blue

Countdown, to the very end
Equality, an invitation that we won't extend
Ready aim, pull the trigger now
In time you firmly secure your place in hell

Your place in hell
Your place in hell

'Guilty' is what our graves will read
No years, no family, we did
Nothing (nothing) to stop the murder of
A people just like us",Rock,sad,2004
TRAECWI128F4226133.h5,Helmet,Your Head,"That's the logical explanation
Destruction might assume charge or feed belief
Passing time again, fun out on the street
That's still juvenile preoccupation

Standing buttholes, the line goes down the block
Familiarity is more convincing
Funds available erect the monument
Dead is dead I guess
What's the cost of a head?

That fills your head but you're good for that",Hip Hop/Rap,sad,1995
TRAEDXO128F421B908.h5,Shaman,For Tomorrow (live),"Long ago, the world was one
We walked through the ice floes
To an unenduring land
Our future, our hope
There was something in the air,
The Age of the Unknown
Far beyond the sea of trees
The vision laid close

There's a place where the sun shines brighter
There's a mountain that climbs to the stars...

Day and night we built a reign
With heavenly desire
Sweat and dreams made up the bricks
That raised up our walls

Paying tribute to the gods
And blood kept on flowing
And the lust for knowledge
Was the sense of it all

Fly, fly to the stars,
Reach them on high
Bring back the answers of the night
Roll with the clouds,
Sing with the birds,
'Cos one day we'll have to say goodbye!

Here we go, carrying no longer sorrow
Standing up in the wind
Walk along, marching on for tomorrow
In this neverending way

Many years of harmony
The message arrived soon
Three big stars lined up together
A chill in the air...

The high-priest was dressed in black
On top of the stairways
Longing for the sacrifice
Of those who would dare

Fly, fly to the stars
Then let it fall
Into the emptiness of night
Our time has come
Time to move on
'Cos one day we have to say goodbye...

Here we go, carrying no longer sorrow
Standing up in the wind
Walk along, marching on for tomorrow
In this neverending way

Come with me to Paradise
Let's return again,
Let's return again!

To be closer to the skies
Living on a dream,
Living on a dream...

Here we go, carrying no longer sorrow
Standing up in the wind
Walk along, marching on for tomorrow
In this neverending way",Electronic,happy,2003
TRAEDYD128F425A868.h5,K-OS,Clap Ur Handz,"Yo, ring the alarm, I'm ready to drop the bomb. (Yeah)
I'm not a Muslim, but I still say Salaam (farsi or the language of many muslims meaning hello). 
This is the calm before the storm, but is it righteous?
Can I write the songs to make the world sing?
Gee slim, with the rude gal demeanah(demeanor).
Happy to meet you, Miss Argentina. 
Bob dobalina, taking my crown to hold me down.
I took it back, now he's crying the tears of the clown.
I slay Goliath with the mic in my hand,
But I still make the round on American Bandstand.
The foolproof plan, but is it calculated?
It can't be violated or even be immitated.
It's highly anticipated like: (strange noise)
And if it's not true, it's nice to believe.
It's the return of an original man to slay the beast of the land.
I'm dumbing it down, so CLAP UR HANDZ!",Hip Hop/Rap,happy,2004
TRAEEMP128F92F4B9C.h5,Delbert McClinton,Lose Your Money,"If you lose your money, boy, well
Please don't lose your mind
If you lose your money, son, well
Please don't lose your mind
If you lose that woman, boy, well
Please don't come for mine

Come the rain, come the sunshine
From these skies above, skies above, mean old skies above
Come the rain, come the sunshine
From these skies above, skies above, mean old skies above
Well, I might be a fool
But I'm a fool about this one I love

'Cause I believe all my soul
That my girl, she's got black cap on
'Cause I believe all my soul
That my girl, she's got black cap on
'Cause every time I leave, I gots ta
Turn around, come back home
Found on OldieLyrics.com
If you lose your money, boy, well
Please don't lose your mind, don't lose your mind
If you lose your money, boy, well
Please don't lose your mind, oh don't lose that mind
If you lose your woman, son, well
Please don't come for mine",Country,happy,2000
TRAEFON128E078C6F8.h5,MC5,Miss X (LP Version),"Oh now Yeah Yeah, hey, hey, hey, hey, yeah, yeah I, I, I, I, I See you lyin' here You're so close You're so near 

Causing sensations rollin' through me Comes on strong, feels just like a spell Sensations rollin', turnin' from me to you Causing this aura of heat to swirl 

Your lips Your undulating hips Squeeze me oh so tight Fulfill me through the night 

Causing sensations rollin' through me Comes on strong, feels just like a spell Sensations rollin', turnin' from me to you Causing this aura of heat to swirl 

Yeah Comes on strong Yeah baby, baby, baby, baby, baby Comes on strong Don't you know my blood is raging Comes on strong Darling, darling, darling, darling Comes on strong I'm tired of all my failings Bring me close and burn, burn, burn, ha ! 

Heat gives way to sweat My body's soaking wet We slide and slip From hip to lip 

Causing sensations rollin' through me Comes on strong, feels just like a spell Sensations rollin', turnin' from me to you Causing this aura of heat to swirl 

Yeah, yeah, yeah, yeah Oh baby, baby You'll always make me hot Come on and gimme all you got 

Yeah, Yeah, Yeah I, I , I, I, I Yeah, yeah I, I, I, I, I I, I, I, I, I I, I, I, I, I Yeah, yeah, yeah, yeah",Rock,happy,1971
TRAEFQG128F429F74E.h5,Washboard Sam,Bucket's Got A Hole In It,"Bucket's Got A Hole In It   2:46   Trk 18
(Robert Brown)
Washboard Sam (Robert Brown)
vocal & washboard, Punch Miller - trumpet
Bill Broonzy - guitar, Black Bob - piano, unk bass.
Recorded: June 16, 1938.
Original issue Bluebird 7906/BS-020808-1.
Album Vol. 3 'That's Chicago's Southside'
BMG Music  63988-2


<to the tune of 'Midnight Special'>

Oh, my bucket got a hole in it
Oh, my bucket got a hole in it
Oh, my bucket got a hole in it
Can't buy no beer

When you're walkin' down 31st Street
You had better look around
Police firin' squad is on their beat
An you'll be jailhouse bound


(trumpet)  'Play it!'

They ain't-a standin' on the corner
Ev'rything was so slow
Can't make no money
Tricks ain't walkin' no mo'

(piano) 'Oh, play it, boy'

Gonna start a new racket
Gonna start it out right
Gonna sell moonshine in the day
An peddle dope at night

Then if I can't make no money
Goin' a catch the Santa Fe
Goin'a drink good liquor
And let all women be.

(trumpet & all to end)  'Pla-ay!'

~",Blues,happy,1994
TRAEFUS12903CC2779.h5,Tammy Wynette,Welcome To My World (Live),"Welcome to my wor-orld
Won't you come on i-in
We're here to have some fun
How long, has it been
Step into my wor-orld
Leave you're cares behi-ind
Welcome to my world
Built with you in mind

Stay and you'll be happy
Stay and you'll be fine
Stay and you'll be given
The key to this world of mine
I'll be standin' here
With my arms unfurled
Singin' just for you
Welcome to my-why world

Welcome to my wor'orld
Won't you come on i-in
We're here to have some fun
So why don't we begin

Ah-ah-ah-ah.......ahhhh",Country,happy,2000
TRAEFWP128F4238373.h5,Fun Lovin' Criminals,We Have All The Time In The World (Live),"We have all the time in the world
Time enough for life to unfold all the precious things life has in store
And we got all the love in the world
And as time goes by, you will find we need nothing more

And every step of the way we'll find us
With the kiss of the world behind us
And we got all the time in the world for love
Nothing more, nothing less, only love
(2x)

Only love, yeah baby",Hip Hop/Rap,happy,1996
TRAEGBE128F4284973.h5,OutKast,Happy Valentine's Day,"My name is Cupid Valentino
The modern day cupid
I just wanna say one thing

Happy Valentine's Day! 
Every day the 14th!
I don't think y'all heard me?
I just wanna say Happy Valentine's Day!
Every day the 14th!
Can y'all dig that?

Now when arrows don't penetrate
Cupid grabs the pistol 
He shoots straight for your heart
And he won't miss you
That's alright y'all won't believe in me anyway but,

Ya won't believe in me but you would fancy leprechauns or ground hogs,
No thank you, Easter Bunny!
There's all this talk about Santa Claus, 
But see love will rule supreme

Happy Valentine's Day!
Every day the 14th!
When cupid knocks at your door,
You can't ignore me (there's no need to run!)
Happy Valentine's Day!
Every day the 14th!
If you know what love means 
Somebody tell me!

Ya won't believe in me but you would fancy leprechauns or ground hogs,
No thank you, Easter Bunny!
There's so much fuss about Santa Claus
But see cupid will not be defeated!

Happy Valentine's Day!
Every day the 14th!
Now I know your hearts have grown cold, and that bothers me
Now I understand 'cause I used to be a bad boy in my day
I know your tryin' to protect your lil' feelings
But you can't run away! (Uh oh!)

Ya won't believe in me but you would fancy,
Hey don't you suppose to be some kind of player or somethin'... 
Bunny!!
Well keep on runnin', player cause I got my good shoes on 
And I got 'em tied up tight, so your gon' find out tonight!

Got a sweet lil' darling back in my corner
Below I know I love her but, act like I don't want her
Surrounded by the lovely but yet feel like a loner
Could be an organ donor
The way I'd give up my heart 
But never know because shit I never tell her
Ask me how I'm feeling I'd holla that it's irrel'
I don't get myself caught in the jello jella, 
And pudding pops that other opt to call falling in love but
For the record have you ever rode a horse?
Likely you just sent me to Pluto, I said of course
But if you ain't a sweety indeedy I won't endorse
Han Solo till I'm hit by bullets, obey the force
Bewitch you, and I rich you in better time permits
For now show me samples, examples why you're the shit
But how am I to know with the profession that I'm in
And if you do not know me then how could you be my friend?

Happy Valentine
Happy Valentine (Valentine)
Happy Valentine's Day (Happy Valentine's Day) (x3)

Happy Valentine
Fuck that Valentine(Valentine)
Fuck that Valentine's Day! (Fuck that Valentine's Day) (x3)

Fuck that Valentine
Fuck that Valentine (Valentine)
Fuck that Valentine's Day! (Fuck that Valentine's Day!)",Hip Hop/Rap,happy,2003
TRAEGGV128F92F29B2.h5,Warrant,Cherry Pie,"She's my cherry pie
Cool drink of water, such a sweet surprise
Tastes so good, make a grown man cry
Sweet cherry pie, yeah

Wow! Heh heh

Well, swingin' on the front porch
Swingin' on the lawn
Swingin' where we want
'Cause there ain't nobody home
Swingin' to the left
And swingin' to the right
If I think about baseball
I'll swing all night, yeah
Yeah, yeah

Huh! Swingin' in the living room
Swingin' in the kitchen
Most folks don't 'cause
They're too busy bitchin'
Swingin' in there 'cause
She wanted me to feed her
So I mixed up the batter
And she licked the beater

I scream, you scream
We all scream for her
Don't even try 'cause
You can't ignore her

She's my cherry pie
Cool drink of water, such a sweet surprise
Tastes so good, make a grown man cry
Sweet cherry pie, oh yeah

She's my cherry pie
Put a smile on your face ten miles wide
Looks so good, bring a tear to your eye
Sweet cherry pie, yeah

Swingin' to the drums
Swingin' to guitar
Swingin' to the bass
In the back of my car
Ain't got money
Ain't got no gas
But we'll get where
We're goin' if we
Swing real fast

I scream, you scream
We all scream for her
Don't even try 'cause
You can't ignore her

She's my cherry pie
Cool drink of water, such a sweet surprise
Tastes so good, make a grown man cry
Sweet cherry pie, oh yeah

She's my cherry pie
Put a smile on your face ten miles wide
Looks so good, bring a tear to your eye
Sweet cherry pie

Swing it! All night long
Swing it! Hey hey, ow!



Swingin' the bathroom
Swingin' on the floor
Swingin' so hard
Forgot to lock the door
In walk her daddy
Standin' six foot four
He said, ""You ain't gonna swing
With my daughter no more""

She's my cherry pie
Cool drink of water, such a sweet surprise
Tastes so good, make a grown man cry
Sweet cherry pie, oh yeah

She's my cherry pie
Put a smile on your face ten miles wide
Looks so good, bring a tear to your eye
Sweet cherry pie
Sweet cherry pie, yeah
Huh!
Swing it!",Rock,happy,1990
TRAEGMO128F146D5F6.h5,Righteous Brothers,See That Girl,"See that girl?
Look at her good.
That's something you don't
see every day, now.
Dig those eyes...
Ain't they a prize?
They sure can get to you,
and, hey now,
Look at that crazy smile
I bet you can't believe
She was mine for a while,
Ain't she somethin?
See that guy?
Right by her side.
He's feelin' proud, and
don't he show it.
Look and see,
That could have been me.
Would you believe I'd go
and blow it?
I let her slip away,
And I tell myself I'm okay
But it just tears the
heart out of me
When I see that girl....
When I see that girl.
(break)
I let her slip away
And I tell myself I'm okay
But it just tears the
heart out of me
When I see that girl....
When I see that girl....
When I see that girl.",Pop,sad,1965
TRAEGUL128E078B0C1.h5,Randy Travis,Wind In The Wire (Album Version),"I've been riding fence all day,
Way up on the summer range.
Found a place to make my bed
As the evening shadows spread
Beyond the campfire light,
In the stillness of night,
Came the call of a coyote choir,
And the song
Of the wind in the wire.

As it strummed the rusted strings,
It sang of long-forgotten things.
Many moons and many suns
Of the real Americans.
When the arrow and the bow
Stalked the range
Of the buffalo,
And the call of the coyote choir
Knew no song
Of the wind in the wire.

As the ghostly balladeer
Hypnotized me, I could hear
Bugle calls, and battle cries.
Broken promises and lies.
The spirits of the plain
Still sing their sad refrain
In the call of the coyote choir
And the song
Of the wind in the wire.",Country,sad,1993
TRAEHBW12903CE1045.h5,Tonic,Where Do I Fit,"Where do I fit inside of it?
Where do I stand? What is the plan?

I long to see the sympathy
That lives inside of you
I want to be more simple, oh

But what is the plan for all of this?
Where do I crawl? Where is the wall?

I long to see the sympathy
That lives inside of you
I want to be more simple, oh

Long night's strain
Teach us change from fear

I live to see the sympathy
That lives inside of you
I long to be more simple, oh

What is the plan inside of here?",Rock,sad,2010
